name,hidden_dim,seq_len,dropout,lr,batch_size,n_params,epochs_run,best_val,test_mae,test_rmse,test_r2,time_seconds
small_capacity_more_dropout,32,24,0.2,0.001,64,38598,19,0.06535312490826549,10.807607650756836,13.774443937456525,0.8501803874969482,207.2659981250763
large_batch_long_seq,64,48,0.2,0.001,128,146694,20,0.06517322684040124,10.914859771728516,13.81136099835759,0.8492917418479919,424.4691276550293
lower_lr_5e-4,64,24,0.1,0.0005,64,146694,16,0.06644597139403546,10.840582847595215,13.92395291732021,0.8469104170799255,238.98863244056702
large_capacity_high_dropout,128,24,0.3,0.001,64,571782,20,0.07340019931344408,12.761312484741211,16.037408965544433,0.7969098091125488,535.3730390071869
longer_seq_48h,64,48,0.1,0.001,64,146694,14,0.07548805085742884,13.089398384094238,16.421471733274053,0.786946713924408,330.9524095058441
higher_lr_2e-3,64,24,0.1,0.002,64,146694,12,0.0794772564039483,13.561680793762207,17.02326809088492,0.7711734175682068,178.02740669250488
longer_seq_72h,64,72,0.2,0.001,64,146694,20,0.08112498623834258,14.792054176330566,18.299540129339658,0.7351654767990112,725.1059181690216
baseline_v2_default,64,24,0.1,0.001,64,146694,7,0.09247364257208429,16.048931121826172,19.75037238820211,0.6919854879379272,100.7818500995636
