,train_mae,train_rmse,train_r2,train_mape,test_mae,test_rmse,test_r2,test_mape
Ridge,7.367204314603549,11.041388632580505,0.6872590409321259,10.638108516900093,10.2395457466897,17.158262399189198,0.6512390462155421,9.90950581035175
RandomForest,3.9053215826061938,6.394016764101872,0.8951218755698854,5.633237181300109,11.697333148313675,19.54261404818147,0.547575040035132,10.520731368508622
GradientBoosting,2.331283821118247,2.932917367379583,0.9779333185615219,3.4337983491729376,11.68468500648402,18.716179220738674,0.5850310166267427,10.832264051353475
XGBoost,1.673916846055251,2.241836925441141,0.9871072545761788,2.4319994734303423,11.397195352407602,19.084161014893336,0.5685530625632864,10.285670195884386
LightGBM,3.5520753883869487,5.316779284767556,0.9274838673676413,4.989095611516679,11.063227429667037,18.461104734591522,0.5962647969075965,10.268852563163415
